"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"NewHaiderPPO1widSliders.nlogo"
"Experiment"
"09/17/2025 12:52:46:003 +0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-9","9","-9","9"
"[run number]","num-investors","patch-mean-profit","patch-min-risk","patch-max-risk","decision-time-horizon","years-simulated","[step]","mean [wealth] of turtles","sum [wealth] of turtles","count turtles with [wealth < 100000]","mean [current-utility] of turtles","mean [profit] of patches","mean [annual-risk] of patches","count patches with [profit < 500]","count patches with [profit > 15000]"
"96","15","2000","0.01","0.2","3","25","25","301808.8423310634","4527132.634965952","0","282499.3081437692","4854.740709313168","0.09254255681515858","41","25"
"97","15","2000","0.01","0.2","3","25","25","311584.4420881821","4673766.631322731","0","369580.3772953938","4489.141847601499","0.10023912520543828","36","11"
"98","15","2000","0.01","0.2","3","25","25","290689.8822764296","4360348.234146444","0","376218.6118347913","4784.703740266305","0.09528468898014845","40","19"
"99","15","2000","0.01","0.2","3","25","25","325466.7845510419","4882001.768265628","0","302172.44123528956","4315.664557047545","0.10157049563411505","45","19"
"100","15","2000","0.01","0.2","3","25","25","440589.509551205","6608842.643268075","0","418457.54883989546","4898.0552178481","0.09876996997155882","37","19"
"101","15","2000","0.01","0.2","3","50","50","1438630.3682342055","2.1579455523513082E7","0","1573082.8294986123","9492.762118312261","0.0738349204083012","18","58"
"102","15","2000","0.01","0.2","3","50","50","1164846.996887661","1.7472704953314915E7","0","1313696.290403855","8403.604834469397","0.08134253308182032","28","61"
"103","15","2000","0.01","0.2","3","50","50","833824.263051537","1.2507363945773054E7","0","939500.6584065639","9711.895333498182","0.07432034184137203","18","71"
"104","15","2000","0.01","0.2","3","50","50","985733.9450829149","1.4786009176243724E7","0","1162051.189386436","9118.413691106729","0.07275219180920035","23","60"
"105","15","2000","0.01","0.2","3","50","50","1627907.3269108797","2.4418609903663196E7","0","1477725.5572140256","9143.70013209401","0.07855714390976501","20","70"
"106","15","2000","0.01","0.2","3","50","50","1036056.7672790356","1.5540851509185534E7","0","1126154.3913720285","9103.509331461253","0.07428973686106902","16","58"
